Clone,Col,Row,border position,Blk,Plot,DBH15a,DBH15b,DBH15c,DBH15d,DBH15e,DBH14a,DBH14b,DBH14c,DBH14d,DBH14e,Ht14a(ft),Ht14b(ft),Ht14c(ft),Ht14d(ft),Ht14e(ft),DBH13a,DBH13b,DBH13c,DBH13d,DBH13e,DBH12a,DBH12b,DBH12c,DBH12d,DBH12e,Ht12a(ft),Ht12b(ft),Ht12c(ft),Ht12d(ft),Ht12e(ft),DBH11a,DBH11b,DBH11c,DBH11d,DBH11e,DBH10a,DBH10b,DBH10c,DBH10d,DBH10e,DBH09a,DBH09b,DBH09c,DBH09d,DBH09e,DBH09f,DBH08a,DBH08b,DBH08c,DBH08d,DBH08e,DBH08f,Ht08(ft),DBH07a,DBH07b,DBH07c,DBH07d,DBH07e,Canker14,Canker13,Notes2014,"Canker Scoring: _1-clean_2-few on branches, small stem, healing ",Notes11,Notes10,Notes,LeafSpot08yr4,LeafRust08yr4,Canker08yr4
85XAA04,4,10,3,4,18,,,,,,2.9,,,,,33,,,,,2.7,,,,,2.7,,,,,31.3,,,,,,,,,,2.4,0.7,,,,1.8,0.7,,,,,1.5,0.7,,,,,15.5,0.8,0.2,,,,3,0,,,,,,,1,
85XAA04,4,11,3,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.4,,,,,,0.4,,,,,,8.6,3.0,,,,,,,,dead,,,,,1,
85XAA04,4,12,3,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.6,,,,,,0.6,,,,,,9.0,0.3,,,,,,,,dead,,,,,1,
84XAA04,4,13,3,5,17,5.2,2.7,,,,4.8,2.6,,,,40,30,,,,4.4,2.5,,,,4,2.5,,,,35.5,28.8,,,,,,,,,2.9,2.0,,,,2.5,1.9,,,,,2.3,1.9,,,,,16.5,1.7,1.1,,,,1,0,,,,,,,1,
84XAA04,4,14,3,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,root collar dead08,,,
84XAA04,4,15,3,5,17,8,,,,,7.6,,,,,48,,,,,7.1,,,,,6.8,,,,,43.3,,,,,,,,,,5.1,,,,,4.1,,,,,,3.2,,,,,,21.6,2.1,,,,,1,0,,,,,,,1,
84XAA04,4,16,3,5,17,6.4,5.2,3.6,,,6,4.8,3.3,,,47,41,40,,,5.8,4.1,3,,,5.8,3.9,2.9,,,37.1,36.6,35,,,,,,,,4.4,3.0,2.2,,,3.4,2.4,1.9,,,,3.1,2.0,1.5,,,,20.0,2.0,0.9,0.6,,,1,0,,,,,,,1,
82XAA04,4,17,3,5,16,3.9,,,,,3.9,,,,,39,,,,,3.5,,,,,3.5,,,,,33.1,,,,,,,,,,2.7,,,,,2.5,,,,,,2.1,,,,,,15.5,1.2,,,,,1,0,,,,,,,1,
82XAA04,4,18,3,5,16,6.8,5.9,3.6,,,6.2,5.6,3.6,,,45,44,36,,,5.9,5,3.4,,,5,4.6,3.4,,,43.5,37.5,33.2,,,,,,,,3.9,3.3,2.6,,,3.2,2.7,2.3,,,,2.7,2.2,1.7,,,,21.4,1.9,1.4,0.8,,,1,0,,,,,,,1,
82XAA04,4,19,3,5,16,6.3,4.3,,,,5.8,4.1,,,,45,44,,,,4.9,3.7,,,,4.7,3.5,,,,43.8,42,,,,,,,,,3.6,2.6,,,,2.7,2.2,,,,,2.4,1.8,,,,,19.3,1.6,0.9,,,,1,0,,,,,,,1,
82XAA04,4,20,2,5,16,,,,,,,,,,,,,,,,4,3.1,2.6,,,4,3.1,2.6,,,40.4,35,35,,,,,,,,3.8,2.7,2.5,,,3.5,2.6,2.2,,,,3.2,2.2,1.9,,,,18.7,2.8,1.5,0.9,,,,0,blow down died 2014,,,,,,1,
NM6,4,21,1,5,61,7.1,6,,,,6.6,5.3,,,,48,48,,,,5.8,5,,,,5.6,4.2,,,,46,46,,,,4.1,,,,,4.1,2.9,,,,3.3,2.3,,,,,2.6,1.8,,,,,21.8,1.8,1.0,,,,4,2,,cankers,,,green leaves to ground,1,1,1
81XAA04,5,1,1,1,21,2.9,1.2,,,,2.7,1.1,,,,25,,,,,2.5,1,,,,2.5,1,,,,26.8,15.6,,,,,,,,,2.0,0.8,,,,1.8,0.7,,,,,1.6,,,,,,16.0,1.4,,,,,1,0,,,,,,,1,
81XAA04,5,2,2,1,21,8.2,,,,,7.5,,,,,48,,,,,6.9,,,,,6.7,,,,,39.5,,,,,,,,,,4.8,,,,,3.7,,,,,,3.3,,,,,,21.6,2.8,,,,,1,0,,,,,,,1,
81XAA04,5,3,3,1,21,5.6,,,,,5.5,,,,,50,,,,,4.8,,,,,4.7,,,,,39.8,,,,,,,,,,3.7,,,,,3.0,,,,,,2.5,,,,,,21.5,1.6,,,,,1,0,,,,,,,1,
