Ord,Blk,Plot,Col,Row,Clone,1DBH15,2DBH15,3DBH15,Plus Tree 15,Root collar Weevil 15,Notes 2015,1DBH14,2DBH14,3DBH14,1HT14,2HT14,3HT14,RCW14,Stems14,Status14,1DBH13,2DBH13,3DBH13,1HT13,2HT13,3HT13,1DBH12,2DBH12,3DBH12,1HT12,1HT11,1HT10
94,2,42,11,4,74,3.3,3.0,,1,1,,2.9,2.6,,28,27,,0,2,1,1.9,2,,21.5,20.5,,0.9,0.8,0.7,13,9.7,2.8
95,3,43,11,5,74,5.2,,,1,1,5.1/5.3,4.5,,,32,,,0,1,1,3.3,,,24,,,1.7,,,16,9.0,4.6
96,3,43,11,6,74,5.2,1.9,,1,2,"5.0/5.4, 1.9/2.0",4.4,2.2,,30,24,,0,2,1,2.9,1.3,1.1,23.5,20,18,1.7,0.7,0.8,16,8.3,3.1
97,4,44,11,7,64,4.3,,,1,3,,3.5,,,31,,,0,1,1,2.5,,,22.5,,,1.3,,,13.5,7.3,2.2
98,4,44,11,8,64,,,,0,,Died 2015,2.2,,,19.5,,,0,1,1,2,,,18,,,0.9,,,12.5,4.6,1.4
99,5,105,11,9,73,5.4,,,1,1,5.3/5.5,4.4,,,30,,,0,1,1,2.9,,,22,,,1.6,,,14.8,6.9,3.2
100,1,48,12,1,64,5.4,,,1,1,5.3/5.5,4.3,,,29,,,0,1,1,2.8,,,21.5,,,1.4,,,15,8.7,2.9
101,1,48,12,2,64,5.3,,,1,1,,4.4,,,33,,,0,1,1,3,,,24.5,16.5,,1.6,,,17,8.5,3.4
102,2,47,12,3,72,3.8,,,0,1,,3.4,,,31,,,0,1,1,2.5,,,23.5,,,1.7,,,16.6,9.9,2.7
103,2,47,12,4,72,3.5,,,0,4,,3.2,,,30,,,0,1,1,2.3,,,21,,,1.4,0.7,,15.5,7.3,2.3
104,3,46,12,5,73,4.9,,,1,1,4.7/5.2,4.3,,,34,,,0,1,1,3,,,23,,,1.9,,,15,9.4,3.4
105,3,46,12,6,73,3.3,,,0,4,,3,,,27,,,0,1,1,2.1,,,20.5,,,1.2,,,13,6.2,1.1
106,5,106,12,7,66,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,
107,4,45,12,8,67,4.9,,,0,3,4.8/5.1,4.1,,,30,,,0,1,1,2.8,,,21,,,1.4,,,14,6.0,1.6
108,3,63,12,9,NM6,4.3,,,0,1,4.0/4.5,3.8,,,26,,,0,1,1,2.4,,,20,,,1.5,,,14,9.0,5.4
109,1,49,13,1,69,5.2,,,1,3,4.9/5.6,4.3,,,30,,,0,1,1,3.2,,,22,,,1.5,,,14.5,9.2,3.4
